"CODGEO","nom_commune","pop_tot","year_data"
"02166","Chartèves",352,2017
"02167","Chassemy",881,2017
"02168","Château-Thierry",15107,2017
"02169","Châtillon-lès-Sons",83,2017
"02170","Châtillon-sur-Oise",127,2017
"02171","Chaudardes",87,2017
"02172","Chaudun",249,2017
"02173","Chauny",11878,2017
"02174","Chavignon",818,2017
"02175","Chavigny",150,2017
"02176","Chavonne",205,2017
"02177","Chérêt",142,2017
"02178","Chermizy-Ailles",106,2017
"02179","Chéry-Chartreuve",392,2017
"02180","Chéry-lès-Pouilly",710,2017
"02181","Chéry-lès-Rozoy",80,2017
"02182","Chevennes",125,2017
"02183","Chevregny",187,2017
"02184","Chevresis-Monceau",355,2017
"02185","Chézy-en-Orxois",404,2017
"02186","Chézy-sur-Marne",1353,2017
"02187","Chierry",1109,2017
"02188","Chigny",149,2017
"02189","Chivres-en-Laonnois",362,2017
"02190","Chivres-Val",530,2017
"02191","Chivy-lès-Étouvelles",510,2017
"02192","Chouy",370,2017
"02193","Cierges",66,2017
"02194","Cilly",193,2017
"02195","Ciry-Salsogne",930,2017
"02196","Clacy-et-Thierret",314,2017
"02197","Clairfontaine",552,2017
"02198","Clamecy",228,2017
"02199","Clastres",635,2017
"02200","Clermont-les-Fermes",120,2017
"02201","Cœuvres-et-Valsery",438,2017
"02203","Coincy",1310,2017
"02204","Coingt",68,2017
"02205","Colligis-Crandelain",248,2017
"02206","Colonfay",78,2017
"02207","Commenchon",214,2017
"02208","Concevreux",278,2017
"02209","Condé-en-Brie",685,2017
"02210","Condé-sur-Aisne",360,2017
"02211","Condé-sur-Suippe",285,2017
"02212","Condren",707,2017
"02213","Connigis",332,2017
"02214","Contescourt",61,2017
"02215","Corbeny",801,2017
"02216","Corcy",306,2017
"02217","Coucy-le-Château-Auffrique",1014,2017
"02218","Coucy-lès-Eppes",624,2017
"02219","Coucy-la-Ville",219,2017
"02220","Coulonges-Cohan",436,2017
"02221","Coupru",149,2017
"02222","Courbes",31,2017
"02223","Courboin",300,2017
"02224","Courcelles-sur-Vesle",350,2017
"02225","Courchamps",88,2017
"02226","Courmelles",1826,2017
"02227","Courmont",133,2017
"02228","Courtemont-Varennes",333,2017
"02229","Courtrizy-et-Fussigny",66,2017
"02230","Couvrelles",188,2017
"02231","Couvron-et-Aumencourt",938,2017
"02232","Coyolles",344,2017
"02233","Cramaille",143,2017
"02234","Craonne",82,2017
"02235","Craonnelle",117,2017
"02236","Crécy-au-Mont",346,2017
"02237","Crécy-sur-Serre",1498,2017
"02238","Crépy",1837,2017
"02239","Crézancy",1230,2017
"02240","Croix-Fonsomme",257,2017
